web_scraper_order,web_scraper_start_url,name,slogan,link,website,About,founder_name,founders_linkedIn,Job,job_name,salary
1766065139-1,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Socratix AI,AI coworkers for fraud and risk teams.,https://www.ycombinator.com/companies/socratix-ai,https://getsocratix.ai/,"Socratix builds AI coworkers for fraud and risk teams so that humans don't have to spend their days drowning in alerts and spreadsheets.

Today, fraud and risk teams at fintechs and banks are overwhelmed. Analysts jump between tools, manually stitch together context, and make judgment calls under pressure, often for hundreds of alerts a week. Too much of their work is slow, repetitive, and error-prone. We're here to change that. 

Socratix gives fraud and risk teams AI coworkers that investigate alerts in real time, replacing manual reviews with fast, explainable decisions. Socratix agents plug into existing workflows and reason across signals just like human analysts to help teams reduce fraud losses, minimize false positives, and scale operations without scaling headcount.

We've seen this problem firsthand. At DoorDash, Riya helped save $30M+ a year by building smarter fraud detection and investigation tooling, and at Unit21, she built products for analysts that made them 3X faster. We're able to build and sell enterprise-grade software. At Cruise, Satya built scalable AI systems powering petabyte-scale data, and at LinkedIn, he built enterprise products from 0 to 1 generating $50M+ in incremental revenue. Now, the two of us are teaming up to eliminate the manual toil in fraud and risk.

We're obsessed with fraud, LLMs, real-world automation, and the messy edge cases traditional ML has trouble handling. We believe that every fraud analyst should have an AI coworker - and the future of fraud will involve combining human-level reasoning with machine-speed execution.",Riya Jagetia,https://twitter.com/RiyaJagetia,https://www.ycombinator.com/companies/socratix-ai/jobs,,
1766065139-2,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Socratix AI,AI coworkers for fraud and risk teams.,https://www.ycombinator.com/companies/socratix-ai,https://getsocratix.ai/,"Socratix builds AI coworkers for fraud and risk teams so that humans don't have to spend their days drowning in alerts and spreadsheets.

Today, fraud and risk teams at fintechs and banks are overwhelmed. Analysts jump between tools, manually stitch together context, and make judgment calls under pressure, often for hundreds of alerts a week. Too much of their work is slow, repetitive, and error-prone. We're here to change that. 

Socratix gives fraud and risk teams AI coworkers that investigate alerts in real time, replacing manual reviews with fast, explainable decisions. Socratix agents plug into existing workflows and reason across signals just like human analysts to help teams reduce fraud losses, minimize false positives, and scale operations without scaling headcount.

We've seen this problem firsthand. At DoorDash, Riya helped save $30M+ a year by building smarter fraud detection and investigation tooling, and at Unit21, she built products for analysts that made them 3X faster. We're able to build and sell enterprise-grade software. At Cruise, Satya built scalable AI systems powering petabyte-scale data, and at LinkedIn, he built enterprise products from 0 to 1 generating $50M+ in incremental revenue. Now, the two of us are teaming up to eliminate the manual toil in fraud and risk.

We're obsessed with fraud, LLMs, real-world automation, and the messy edge cases traditional ML has trouble handling. We believe that every fraud analyst should have an AI coworker - and the future of fraud will involve combining human-level reasoning with machine-speed execution.",Satya Vasanth Tumati,https://x.com/SirWitWit,https://www.ycombinator.com/companies/socratix-ai/jobs,,
1766065155-3,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Floot,The easiest way for non-coders to build apps with AI.,https://www.ycombinator.com/companies/floot,https://floot.com/,"Floot lets non-coders & entrepreneurs build real web apps that actually work. We’re taking a new approach by building everything from the ground up for AI.

✨ Try building an app at floot.com

Existing AI app builders fall short of enabling non-coders to build real, serious apps. They often:
- Break down when building anything more than a prototype or toy app
- Have non-coders stuck with errors they don’t understand
- Require non-coders to handle multiple services designed for developers (e.g. for backend, database, hosting, etc)

The fundamental problem: these AI app builders just cobble together existing developer tools and slap AI on top, but these tools were designed for humans and not for AI.

The result? Non-coders get excited, start building, hit a wall, and then abandon their projects.

Floot is purpose-built for AI. Our secret sauce:

1) Instead of reusing a coding framework designed for humans, we created a specialized framework that dictates how AI should write code and how the code runs on our infrastructure. This allows us to enforce best practices, detect errors earlier, and give the best feedback to the AI. As a result, Floot can write better code and fix issues more effectively.

2) Floot has the entire tech stack built-in (backend, database, hosting, etc) so building and managing an app feels seamless, especially for non-coders. And because we control every layer of the stack, we can optimize each layer for AI-first coding.

Because of this, non-coders can get more done with less time and prompting. They can finally build serious apps that work, instead of getting stuck in frustrating error loops and then abandoning their projects.

We also built a highly scalable hosting system directly on AWS so Floot apps can handle real traffic and business demands. This means non-coders can build, deploy, and scale their apps on a single platform seamlessly.

Plus, Floot is really fun to use! Try building an app at floot.com",Yujian Yao,https://x.com/yyjhao,https://www.ycombinator.com/companies/floot/jobs,,
1766065155-4,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Floot,The easiest way for non-coders to build apps with AI.,https://www.ycombinator.com/companies/floot,https://floot.com/,"Floot lets non-coders & entrepreneurs build real web apps that actually work. We’re taking a new approach by building everything from the ground up for AI.

✨ Try building an app at floot.com

Existing AI app builders fall short of enabling non-coders to build real, serious apps. They often:
- Break down when building anything more than a prototype or toy app
- Have non-coders stuck with errors they don’t understand
- Require non-coders to handle multiple services designed for developers (e.g. for backend, database, hosting, etc)

The fundamental problem: these AI app builders just cobble together existing developer tools and slap AI on top, but these tools were designed for humans and not for AI.

The result? Non-coders get excited, start building, hit a wall, and then abandon their projects.

Floot is purpose-built for AI. Our secret sauce:

1) Instead of reusing a coding framework designed for humans, we created a specialized framework that dictates how AI should write code and how the code runs on our infrastructure. This allows us to enforce best practices, detect errors earlier, and give the best feedback to the AI. As a result, Floot can write better code and fix issues more effectively.

2) Floot has the entire tech stack built-in (backend, database, hosting, etc) so building and managing an app feels seamless, especially for non-coders. And because we control every layer of the stack, we can optimize each layer for AI-first coding.

Because of this, non-coders can get more done with less time and prompting. They can finally build serious apps that work, instead of getting stuck in frustrating error loops and then abandoning their projects.

We also built a highly scalable hosting system directly on AWS so Floot apps can handle real traffic and business demands. This means non-coders can build, deploy, and scale their apps on a single platform seamlessly.

Plus, Floot is really fun to use! Try building an app at floot.com",Edward Look,https://x.com/edlooky,https://www.ycombinator.com/companies/floot/jobs,,
1766065159-5,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Idler,Reinforcement learning environments.,https://www.ycombinator.com/companies/idler,https://idler.ai/,Idler builds reinforcement learning environments that teach AI models to code at expert human levels. We create training environments based on real-world coding scenarios that prepare models for the complex challenges they'll face in production.,Ivan Chub,https://x.com/chubivan,https://www.ycombinator.com/companies/idler/jobs,,
1766065159-6,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Idler,Reinforcement learning environments.,https://www.ycombinator.com/companies/idler,https://idler.ai/,Idler builds reinforcement learning environments that teach AI models to code at expert human levels. We create training environments based on real-world coding scenarios that prepare models for the complex challenges they'll face in production.,Nalu Concepcion,https://x.com/naluconcepcion,https://www.ycombinator.com/companies/idler/jobs,,
1766065159-7,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Idler,Reinforcement learning environments.,https://www.ycombinator.com/companies/idler,https://idler.ai/,Idler builds reinforcement learning environments that teach AI models to code at expert human levels. We create training environments based on real-world coding scenarios that prepare models for the complex challenges they'll face in production.,Tony Goss,https://x.com/cha0sg0d_,https://www.ycombinator.com/companies/idler/jobs,,
1766065162-8,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Humoniq,AI-Native BPO for travel & transport,https://www.ycombinator.com/companies/humoniq,https://humoniq.ai/,"Humoniq is building the first AI-Native BPO for the travel & transport industries, which outsource $20B of customer support each year. Our AI-native approach improves speed, accuracy, and satisfaction.

Our team is uniquely equipped to solve this challenge. We previously grew a travel management company, Flightfox (YC S12), to $22M/yr. We handled thousands of customer requests each month, which exposed the limitations of traditional outsourcing.",Todd Sullivan,https://x.com/todsul,https://www.ycombinator.com/companies/humoniq/jobs,,
1766065162-9,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Humoniq,AI-Native BPO for travel & transport,https://www.ycombinator.com/companies/humoniq,https://humoniq.ai/,"Humoniq is building the first AI-Native BPO for the travel & transport industries, which outsource $20B of customer support each year. Our AI-native approach improves speed, accuracy, and satisfaction.

Our team is uniquely equipped to solve this challenge. We previously grew a travel management company, Flightfox (YC S12), to $22M/yr. We handled thousands of customer requests each month, which exposed the limitations of traditional outsourcing.",Will Weber,https://www.linkedin.com/in/w-weber/,https://www.ycombinator.com/companies/humoniq/jobs,,
1766065171-10,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Altur,Voice AI Agents for Debt Collection,https://www.ycombinator.com/companies/altur,https://altur.io/,Voice AI Agents for Debt Collection,Luis Olave,https://linkedin.com/in/luis-olave,https://www.ycombinator.com/companies/altur/jobs,,
1766065171-11,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Altur,Voice AI Agents for Debt Collection,https://www.ycombinator.com/companies/altur,https://altur.io/,Voice AI Agents for Debt Collection,Pedro Fernández,https://www.linkedin.com/in/pedrofdzl,https://www.ycombinator.com/companies/altur/jobs,,
1766065175-12,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Metis,Infrastructure to build reliable agents,https://www.ycombinator.com/companies/metis,https://withmetis.ai/,We build infrastructure enabling AI agents to reliably perform complex tasks in production,Aryan Shah,https://www.linkedin.com/in/aryan-shah1/,https://www.ycombinator.com/companies/metis/jobs,,
1766065175-13,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Metis,Infrastructure to build reliable agents,https://www.ycombinator.com/companies/metis,https://withmetis.ai/,We build infrastructure enabling AI agents to reliably perform complex tasks in production,Aayush Sheth,https://linkedin.com/in/aasheth1,https://www.ycombinator.com/companies/metis/jobs,,
1766065175-14,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Metis,Infrastructure to build reliable agents,https://www.ycombinator.com/companies/metis,https://withmetis.ai/,We build infrastructure enabling AI agents to reliably perform complex tasks in production,Marcus Yearwood,https://www.linkedin.com/in/marcus-yearwood?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,https://www.ycombinator.com/companies/metis/jobs,,
1766065178-15,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Sira,AI Native Rippling for Deskless Workers,https://www.ycombinator.com/companies/sira,https://sira.team/,"Sira is the AI-powered platform for managing time tracking, scheduling, payroll, and HR — purpose-built for hourly teams.

Our intelligent agents handle the manual, time-consuming tasks for you — like calling workers to fill open shifts, detecting timesheet anomalies, and streamlining payroll processing.

With Sira, businesses stay organized, compliant, and focused on what really matters — while we take care of the team.",Nathan Belaye,https://www.linkedin.com/in/nathan-belaye-931005149/,https://www.ycombinator.com/companies/sira/jobs,,
1766065178-16,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Sira,AI Native Rippling for Deskless Workers,https://www.ycombinator.com/companies/sira,https://sira.team/,"Sira is the AI-powered platform for managing time tracking, scheduling, payroll, and HR — purpose-built for hourly teams.

Our intelligent agents handle the manual, time-consuming tasks for you — like calling workers to fill open shifts, detecting timesheet anomalies, and streamlining payroll processing.

With Sira, businesses stay organized, compliant, and focused on what really matters — while we take care of the team.",Antonio Chan,https://www.linkedin.com/in/antonio-chan/,https://www.ycombinator.com/companies/sira/jobs,,
1766065182-17,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Pally,Intelligent Unified Inbox + Personal CRM,https://www.ycombinator.com/companies/pally,https://pally.com/,"We spend our lives in messaging apps. Slack. iMessage. WhatsApp. We face a constant stream of information, introductions, and things we need to do.

What if you could bring together every message, from every platform, in a Superhuman-like experience, with AI agents that automatically complete your action items?

That’s exactly what we’re building at Pally; a future where you never need to check another inbox again.",Haz Hubble,https://www.x.com/hazhubble,https://www.ycombinator.com/companies/pally/jobs,,
1766065182-18,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Pally,Intelligent Unified Inbox + Personal CRM,https://www.ycombinator.com/companies/pally,https://pally.com/,"We spend our lives in messaging apps. Slack. iMessage. WhatsApp. We face a constant stream of information, introductions, and things we need to do.

What if you could bring together every message, from every platform, in a Superhuman-like experience, with AI agents that automatically complete your action items?

That’s exactly what we’re building at Pally; a future where you never need to check another inbox again.",Wyatt Lansford,https://x.com/wylansford,https://www.ycombinator.com/companies/pally/jobs,,
